id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA052;IPA 22-14;auditorium;BFa;2022;27/04/2022;;;;;;;;;;1,5;;2,5;1;;;;;;;;;;;0,5;;;;;;;;;;;;;1;;;;;;;;;;3;;;0,5;0,5;;;
IPA053;IPA 22-15;parc_des_sports;BFa;2022;27/04/2022;;;;;;;;;;2;;;0,5;;1;;;;;;;;;2;1;;0,5;;1;;2;;;;;;1;;;;;1;;2;;;0,5;;1;1;1;;3;
IPA054;IPA 22-16;bd_monsart;BFa;2022;29/05/2022;;;;;;;;;;1,5;;3;1,5;;;;;2,5;;;;;;;;;;;;;1;;;;;;;1;;;;1;;;;;5;;1;;0,5;;;
IPA055;IPA 22-17;rue_martin_de_monville;BFa;2022;29/05/2022;;;;;;;;;;;;0,5;2;;;;;;;;;;;1;;;;;;;1;;;;;;1;1;;;;1;;;;;2,5;;;1;;;;1
IPA056;IPA 22-18;bois_creps;BFa;2022;29/04/2022;;;;;;;0,5;;;2;;;;;1;1;;;;;;;;2;2;;;;;1;3;;;;1;1;2;;;1;;;;1;;;;;0,5;;;;5;1
IPA057;IPA 22-19;nichoir_377_quetigny;BFa;2022;29/04/2022;;;;;;;;;;2;;;4;;;;;;;;;0,5;;1;;;;;;;2;;;;;;3;1;;;;0,5;1;;1;;3;;1;1;1;;;
IPA058;IPA 22-20;rue_de_belfort;BFa;2022;02/05/2022;;;;;;;;;;2;;;1;;;;;0,5;;;;;;;;;;;;;2;1;;;;;1;;;;;1;;;;;5;;1,5;1,5;0,5;;;
IPA059;IPA 22-21;rue_ing_bertin;BFa;2022;02/05/2022;;;;;;;;;0,5;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;0,5;1;;;;1;1;;1;;2;;1;0,5;;;3;
IPA060;IPA 22-22;rue_voisenet;BFa;2022;02/05/2022;;;;;;;;;;;;;3;;;;;;;;;;;;1;;;;;;1;;;;;;1,5;1;;;;2;1;;;1;3;;1;1;;;2;1,5
IPA061;IPA 22-23;angle_comte_chaudronnerie;BFa;2022;05/05/2022;;;;;;;;;;;;3;1;;;;;0,5;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;5;;;;;;;
IPA062;IPA 22-24;bd_thiers;BFa;2022;05/05/2022;;;;;;;;;0,5;2;1;1,5;1;;;;;0,5;;;;;;1;;;;;;;;;;;;;;2;;;;1;;;;;1;;1,5;;0,5;;;1
IPA063;IPA 22-25;rue_darsonval;BFa;2022;05/05/2022;;;;;;;;;;1,5;;;2;;;;;;;;;;;;;;;;;;3;;;;;;2;1;;;;1;1;;;;4;;2;1;0,5;;;
IPA064;IPA 22-26;rue_23_janvier;BFa;2022;23/05/2022;;;;;;;;;;1,5;;2;1;;;;;1,5;;;;;;;;;;;;;;;;;;;0,5;1;;;;0,5;;;;;2,5;;;0,5;0,5;;;
IPA065;IPA 22-27;jeux_marcs_dor;BFa;2022;23/05/2022;;;;;;;;;;2,5;;;2;;;;;2;;;;;;1;;;;;0,5;;1;;;;;;2;1;1;;;1;1;1;;1;2;;0,5;1;;;;
IPA066;IPA 22-28;college_bachelard;BFa;2022;23/05/2022;;;1,5;;;;;;;1;;1,5;;;;;;1;;;;;;;;;;;;;2;;;;;;2;0,5;1;;;1;;1;;1;2;;1;1;;;;
IPA067;IPA 22-29;rue_moret_st_denis;BFa;2022;24/05/2022;;;;;;;;;;1;;0,5;1,5;;;;;0,5;;;;;;1;;;;;;;;;;;;;2;1;;;;0,5;;;;;5;;;2;1;0,5;;
